U_ele_1 band_gap delta_gap delta_band obj_func d_obj 
0.0 0.15880900000000064 0.7231649999999998 0.44827112350847254 -0.36195730869827397 N/A
-9.99195950217285 1.4920550000000001 0.6100809999999997 1.1684078852933593 -0.8686879064883497 0.5067305977900758
-0.260995071520858 0.20522300000000016 0.6767510000000003 0.4670527949806037 -0.33806511465009714 0.5306227918382526
10.0 0.0 0.8819740000000005 0.653146301393335 -0.602239113849897 0.2641739991997999
-4.301091268487347 0.8104210000000007 0.07155299999999976 0.7752178732620938 -0.30304129141700187 0.29919782243289517
5.297377192476484 0.0 0.8819740000000005 0.27785487805606546 -0.4275407349677759 0.12449944355077402
-2.536642192634199 0.5777999999999999 0.3041740000000006 0.6436714136439169 -0.2534173555091793 0.17412337945859657
3.131115809049001 0.0 0.8819740000000005 0.2685477060345662 -0.4249980035462143 0.171580648037035
-6.432736670356556 1.0781909999999995 0.19621699999999898 0.9289288524910362 -0.45070496203965643 0.025706958493442122
7.475999534431863 0.0 0.8819740000000005 0.422501409196691 -0.47819278872459525 0.02748782668493882
-1.677396061870366 0.45253100000000046 0.429443 0.577401853043797 -0.25890709507370524 0.21928569365089
-3.276897350041607 0.6764669999999997 0.20550700000000077 0.6991707634258093 -0.26553644173921465 0.006629346665509406
-2.1435411000607507 0.5247489999999999 0.35722500000000057 0.6140912895041677 -0.25235890623494595 0.0131775355042687
-2.3093049216996455 0.547174 0.33480000000000043 0.6265698470629368 -0.2523404066242362 1.849961070976569e-05
