U_ele_1 band_gap delta_gap delta_band 
0.0 0.0 0.15880900000000064 0.7231649999999998 0.4482711235084726
-9.99195950217285 -9.99195950217285 1.4920550000000001 0.6100809999999997 1.1684078852933597
-0.260995071520858 -0.260995071520858 0.20522300000000016 0.6767510000000003 0.46705279498060376
10.0 10.0 0 0.8819740000000005 0.42491140910388214
-4.308332555299678 -4.308332555299678 0.811356 0.07061800000000051 0.7757510282186776
5.486232611989927 5.486232611989927 0 0.8819740000000005 0.2568592668517715
-2.5400382872171137 -2.5400382872171137 0.5782559999999997 0.3037180000000008 0.6439269534911356
7.66411060679922 7.66411060679922 0 0.8819740000000005 0.31399045949909976
-6.351407034441007 -6.351407034441007 1.0682490000000007 0.1862750000000002 0.9231960649902475
3.148382951991376 3.148382951991376 0 0.8819740000000005 0.281387082798647
-1.684133295222141 -1.684133295222141 0.4536869999999995 0.428287000000001 0.5779491222001274
-3.2688979413723342 -3.2688979413723342 0.6754099999999994 0.20656400000000108 0.6985733361075881
-2.1470307344068367 -2.1470307344068367 0.5252220000000003 0.3567520000000002 0.6143540816025288
-2.310822826200763 -2.310822826200763 0.5473800000000004 0.33459400000000006 0.626684329709106
